Region,diet_group,Percentage,Date,age_group,grouping,mean_ghgs,mean_land,mean_watscar,mean_ghgs_ch4,mean_ghgs_n2o,mean_bio,mean_acid,mean_watuse,n_participants,Region_Population,Per_Person_GHGs,Scaled GHGs,Scaled Land Use
London,fish,4,2022-04-01,40-49,fish_female_40-49,4927.040172677,6540.681894736,17729964.755823,841.105793907,320.413037196,252846.9224143,23470.16991168,748488.7548866,1689.0,9294023,2.917134501288928,1084476.605962913,1439650.6326905852
London,fish,4,2022-04-01,40-49,fish_male_40-49,5201.802609349,6890.941560395,18288937.588674,844.988263568,334.051387364,258088.1295996,24020.1797372,782192.7528884,432.0,9294023,12.041209743863426,4476451.212291632,5930052.717959909
London,fish,4,2022-04-01,50-59,fish_female_50-59,4944.320333791,6566.172011315,18446193.258613,834.8812859450001,323.892204601,246789.91162713,23652.47351582,788932.2758300999,946.0,9294023,5.226554264049683,1943028.6216330328,2580387.04841936
London,fish,4,2022-04-01,50-59,fish_male_50-59,5142.355789303,6693.609079474,18449190.579349,834.246073905,330.226228599,253040.5656441,24151.16507942,792176.8306866,214.0,9294023,24.02969995001402,8933303.360741166,11628141.446287885
London,fish,4,2022-04-01,60-69,fish_female_60-69,5103.822518681,6866.63521717,18922366.830964,879.670011677,336.023122898,258645.7589212,24455.23960965,819856.6042607,492.0,9294023,10.373623005449186,3856507.6322389543,5188509.401706339
London,fish,4,2022-04-01,60-69,fish_male_60-69,5153.8266806130005,7048.903698705,18767057.425435,865.62521819,343.165849005,259654.8954935,24005.80233145,799061.3245367,159.0,9294023,32.41400428058491,12050260.052234184,16481175.622779708
London,fish,4,2022-04-01,70-79,fish_female_70-79,4990.762890714,6874.727609523,18969983.047527,856.399301444,339.623117706,259346.5740337,23791.25870694,798688.3514766,195.0,9294023,25.593655849815384,9514721.044890748,13106436.209567545
London,fish,4,2022-04-01,70-79,fish_male_70-79,5303.953641929,7391.856969142,19804958.474144,901.249895287,357.981550402,265899.5933381,24857.3075777,854706.0662992,68.0,9294023,77.99931826366176,28997098.3170717,40411816.87289178
London,high_meat,64,2022-04-01,20-29,meat 100+_female_20-29,10191.268743064,20378.573320193,22092641.19835,2111.090371546,757.689990564,387390.0835552,43737.42749378,971149.334013,393.0,9294023,25.931981534513994,154247957.00310293,308435915.1471717
London,high_meat,64,2022-04-01,20-29,meat 100+_male_20-29,12104.782205645,24338.7929863,24385455.83032,2584.397436414,917.295174966,452814.6113061,52156.12012213,1060965.9213279,132.0,9294023,91.7028954973106,545464844.7479048,1096752978.4577496
London,high_meat,64,2022-04-01,20-29,meat <50_female_20-29,5386.15768943,8054.259510441,16975912.723162,1000.03505359,375.466776556,258610.2001502,25078.29222321,742815.8815584,764.0,9294023,7.049944619672774,41934302.36413761,62706993.20461352
London,high_meat,64,2022-04-01,20-29,meat <50_male_20-29,5842.741220846,8781.104480255,17395332.484899,1087.363454556,407.855634625,277013.1676815,26935.57725525,749009.4254059,131.0,9294023,44.60107802172519,265295004.7735734,398714073.91703457
London,high_meat,64,2022-04-01,30-39,meat 100+_female_30-39,10421.548409817,21112.200345029,22088092.34693,2165.169892297,764.294561514,394707.2268858,43952.59149038,963719.351362,778.0,9294023,13.39530643935347,79677623.12921552,161412668.86359483
London,high_meat,64,2022-04-01,30-39,meat 100+_male_30-39,11178.862348943,22645.744469674,23344169.1093,2327.435899816,836.297882429,417294.5653328,46534.86610683,1020447.9221411,260.0,9294023,42.995624419011534,255745486.23977908,518080172.1926719
London,high_meat,64,2022-04-01,30-39,meat <50_female_30-39,5489.000437973,8029.116429526,17506085.028828,1010.241531789,374.895624127,259545.3969077,25799.86944614,761775.1711725,1483.0,9294023,3.7012814821126097,22015868.943506356,32204037.336509246
London,high_meat,64,2022-04-01,30-39,meat <50_male_30-39,5923.054206147,8586.602547979,18760173.884984,1076.925132086,401.91142913,276550.6400937,27601.16384792,818591.9673994,370.0,9294023,16.008254611208105,95219895.38971148,138039492.45020616
London,high_meat,64,2022-04-01,40-49,meat 100+_female_40-49,11242.124224869,23997.330527419,21672363.2331,2393.374592696,814.624172547,419277.1377179,45377.50285845,938614.0902881,1935.0,9294023,5.809883320345736,34558201.09223016,73767604.54298602
London,high_meat,64,2022-04-01,40-49,meat 100+_male_40-49,11493.864090238,24185.439015419,21888216.90015,2441.364133066,840.706541986,426420.5366705,46705.03078248,932619.2650626,616.0,9294023,18.65887027636039,110986220.48160627,233537689.84353408
London,high_meat,64,2022-04-01,40-49,meat <50_female_40-49,5604.987137323,8371.516717811,17389599.271018,1050.075268647,382.423533526,264795.4058172,26272.91677703,756594.7246735,2093.0,9294023,2.6779680541438124,15929021.880625816,23791325.422331944
London,high_meat,64,2022-04-01,40-49,meat <50_male_40-49,5898.524814835,8674.020430288,17926287.470579,1080.246619904,393.784828899,274409.1620408,27479.99024483,772622.978487,448.0,9294023,13.16635003311384,78315750.4216389,115166493.40223795
